epoch;accuracy;loss;val_accuracy;val_loss
0;0.5199999809265137;0.992865800857544;0.7133333086967468;0.7354512810707092
1;0.7975000143051147;0.5757505297660828;0.7599999904632568;0.6033141016960144
2;0.8125;0.5112578272819519;0.7733333110809326;0.5585706233978271
3;0.7900000214576721;0.46705567836761475;0.800000011920929;0.5232490301132202
4;0.8450000286102295;0.4153791666030884;0.8033333420753479;0.4904102683067322
5;0.862500011920929;0.3594041168689728;0.8100000023841858;0.48396366834640503
6;0.8374999761581421;0.3941234350204468;0.8100000023841858;0.4799690246582031
7;0.8899999856948853;0.3637094795703888;0.8266666531562805;0.45997628569602966
8;0.8575000166893005;0.3570705056190491;0.8133333325386047;0.4849609434604645
9;0.887499988079071;0.3440323770046234;0.79666668176651;0.5214226245880127
0;0.7074999809265137;0.63336580991745;0.8166666626930237;0.46308842301368713
1;0.7975000143051147;0.505920946598053;0.8233333230018616;0.45835068821907043
2;0.8550000190734863;0.46555864810943604;0.8266666531562805;0.4580700695514679
3;0.8224999904632568;0.510694146156311;0.8333333134651184;0.45624226331710815
4;0.8575000166893005;0.46865466237068176;0.8299999833106995;0.45944222807884216
5;0.8324999809265137;0.4569469690322876;0.8199999928474426;0.45719385147094727
6;0.8324999809265137;0.45253798365592957;0.8266666531562805;0.45507022738456726
7;0.8399999737739563;0.44740089774131775;0.8266666531562805;0.4549853503704071
8;0.8500000238418579;0.40312740206718445;0.8333333134651184;0.44931671023368835
9;0.8324999809265137;0.4383600652217865;0.8266666531562805;0.44614970684051514
0;0.8500000238418579;0.40923789143562317;0.8299999833106995;0.44623804092407227
1;0.8675000071525574;0.37309473752975464;0.8266666531562805;0.4405211806297302
2;0.8600000143051147;0.4160752594470978;0.8266666531562805;0.43890294432640076
3;0.8675000071525574;0.3606956899166107;0.8266666531562805;0.4372410178184509
4;0.875;0.37260493636131287;0.8333333134651184;0.43681061267852783
5;0.8675000071525574;0.3611465096473694;0.8299999833106995;0.43440404534339905
6;0.8525000214576721;0.40042033791542053;0.8299999833106995;0.43320420384407043
7;0.8550000190734863;0.35898250341415405;0.8299999833106995;0.43140751123428345
8;0.8774999976158142;0.3342365324497223;0.8333333134651184;0.43187376856803894
9;0.8575000166893005;0.37978366017341614;0.8366666436195374;0.4315214157104492
